"Cluster","Metabolite","Formula","Super_Class","Class","Sub_Class","HMDB","pct.1","pct.2","avg_log2FC","p_val","p_val_adj"
"胆管间隙 Bile Duct Gap","PG(20:1(11Z)/18:2(9Z,12Z))","C44H81O10P","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoglycerols","HMDB0116576",88.2195448460509,85.347358780271,0.0982420933803192,0.0085230823127105,1
"胆管间隙 Bile Duct Gap","PG(20:1(11Z)/20:4(6Z,8E,10E,14Z)-2OH(5S,12R))","C46H81O12P",NA,NA,NA,"HMDB0269527",68.2730923694779,69.3584502868841,-0.0362615677347181,0.0361377457203457,1
"胆管间隙 Bile Duct Gap","PG(20:1(11Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C46H79O13P",NA,NA,NA,"HMDB0269561",43.1057563587684,42.4009374242383,-0.00731029773775632,0.678029815431745,1
"胆管间隙 Bile Duct Gap","PG(20:2(11Z,14Z)/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15))","C46H77O13P",NA,NA,NA,"HMDB0269665",97.9919678714859,95.5287153516688,0.0201710280789548,0.29302741942442,1
"胆管间隙 Bile Duct Gap","PG(20:2(11Z,14Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C48H79O11P",NA,NA,NA,"HMDB0269671",78.714859437751,76.4625367023139,0.0258079518210265,0.0473099954773554,1
"胆管间隙 Bile Duct Gap","PG(20:3(5Z,8Z,11Z)/22:6(5Z,7Z,10Z,13Z,16Z,19Z)-OH(4))","C48H77O11P",NA,NA,NA,"HMDB0269775",35.8768406961178,39.8385098187108,-0.0468941352774226,0.0116248954185243,1
"胆管间隙 Bile Duct Gap","PG(a-13:0/5-iso PGF2VI)","C37H67O13P",NA,NA,NA,"HMDB0270574",87.9518072289157,86.2502693747811,0.0143515244078243,0.458933083829793,1
"胆管间隙 Bile Duct Gap","PG(a-13:0/LTE4)","C42H74NO13PS",NA,NA,NA,"HMDB0270564",98.9290495314592,97.8758114915282,0.0480682229586766,0.298524583528902,1
"胆管间隙 Bile Duct Gap","PG(a-15:0/LTE4)","C44H78NO13PS",NA,NA,NA,"HMDB0270668",99.4645247657296,98.2478854079681,0.0763765481262024,0.000163481347979312,1
"胆管间隙 Bile Duct Gap","PG(a-17:0/PGE2)","C43H77O13P",NA,NA,NA,"HMDB0270762",60.6425702811245,58.2186245723675,0.0252487276506304,0.256248571915339,1
"胆管间隙 Bile Duct Gap","PG(a-21:0/PGJ2)","C47H83O12P",NA,NA,NA,"HMDB0270873",56.8942436412316,56.7160183713601,-0.0134913873641279,0.309270997194535,1
